dataset,model,n_scored,phenomenon_id,soundness,consistency,total,accuracy,phenomenon_id_norm,soundness_norm,consistency_norm,total_norm
fracas-translated,gpt-4o,342,1.2894736842105263,1.4532163742690059,0.935672514619883,3.6783625730994154,0.6988304093567251,0.6447368421052632,0.7266081871345029,0.935672514619883,0.735672514619883
fracas-translated,gpt-5.4,342,1.654970760233918,1.6140350877192982,0.9824561403508771,4.251461988304094,0.7485380116959064,0.827485380116959,0.8070175438596491,0.9824561403508771,0.8502923976608188
fracas-translated,grok-4-20,342,1.4883040935672514,1.4210526315789473,0.935672514619883,3.845029239766082,0.695906432748538,0.7441520467836257,0.7105263157894737,0.935672514619883,0.7690058479532164
fracas-translated,grok-4-20-reasoning,342,1.7017543859649122,1.5994152046783625,0.9415204678362573,4.242690058479532,0.7309941520467836,0.8508771929824561,0.7997076023391813,0.9415204678362573,0.8485380116959064
fracas-translated,llama-3.3-70b,342,1.1608187134502923,1.3304093567251463,0.9035087719298246,3.3947368421052633,0.6345029239766082,0.5804093567251462,0.6652046783625731,0.9035087719298246,0.6789473684210526
fracas-translated,llama-4-maverick,341,1.3225806451612903,1.3812316715542523,0.9384164222873901,3.6422287390029324,0.6686217008797654,0.6612903225806451,0.6906158357771262,0.9384164222873901,0.7284457478005865
fracas-translated,mistral-large-3,342,1.3362573099415205,1.3391812865497077,0.8830409356725146,3.5584795321637426,0.6052631578947368,0.6681286549707602,0.6695906432748538,0.8830409356725146,0.7116959064327485
oyxoy,deepseek-r1,1043,1.775647171620326,1.6471716203259827,0.987535953978907,4.410354745925216,0.7411313518696069,0.887823585810163,0.8235858101629914,0.987535953978907,0.8820709491850431
oyxoy,deepseek-v4-pro,1048,1.7328244274809161,1.5677480916030535,0.9790076335877863,4.279580152671755,0.7080152671755725,0.8664122137404581,0.7838740458015268,0.9790076335877863,0.8559160305343511
oyxoy,gpt-4o,1048,1.6469465648854962,1.6374045801526718,0.9618320610687023,4.2461832061068705,0.7232824427480916,0.8234732824427481,0.8187022900763359,0.9618320610687023,0.8492366412213741
oyxoy,gpt-5.4,1047,1.848137535816619,1.7106017191977076,0.9952244508118434,4.55396370582617,0.7478510028653295,0.9240687679083095,0.8553008595988538,0.9952244508118434,0.9107927411652341
oyxoy,grok-4-20,1048,1.7251908396946565,1.5076335877862594,0.9885496183206107,4.221374045801527,0.6889312977099237,0.8625954198473282,0.7538167938931297,0.9885496183206107,0.8442748091603054
