dataset,model,technique,language,n_items,n_no_prediction,n_strict_correct,n_partial_correct,strict_accuracy,partial_accuracy,crosslingual,multilabel
oyxoy,grok-4-20,few-shot,el,1049,1,681,776,0.6491897044804575,0.7397521448999047,False,True
oyxoy,grok-4-20,few-shot,en,1049,2,664,751,0.6329837940896091,0.7159199237368923,True,True
oyxoy,grok-4-20,zero-shot,el,1049,1,709,813,0.6758817921830315,0.775023832221163,False,True
oyxoy,grok-4-20,zero-shot,en,1049,1,722,820,0.6882745471877979,0.7816968541468065,True,True
oyxoy,grok-4-20-reasoning,few-shot,el,1049,1,785,875,0.7483317445185891,0.8341277407054337,False,True
oyxoy,grok-4-20-reasoning,few-shot,en,1049,2,810,905,0.7721639656816015,0.8627264061010487,True,True
oyxoy,grok-4-20-reasoning,zero-shot,el,1049,1,803,906,0.765490943755958,0.8636796949475691,False,True
oyxoy,grok-4-20-reasoning,zero-shot,en,1049,1,814,919,0.7759771210676835,0.8760724499523356,True,True
oyxoy,llama-3.3-70b,few-shot,el,1049,1,565,649,0.5386081982840801,0.6186844613918017,False,True
oyxoy,llama-3.3-70b,few-shot,en,1049,2,640,729,0.6101048617731173,0.6949475691134414,True,True
oyxoy,llama-3.3-70b,zero-shot,el,1049,1,552,636,0.5262154432793136,0.6062917063870352,False,True
oyxoy,llama-3.3-70b,zero-shot,en,1049,1,631,725,0.6015252621544328,0.6911344137273594,True,True
oyxoy,llama-4-maverick,few-shot,el,1049,1,642,730,0.6120114394661582,0.6959008579599618,False,True
oyxoy,llama-4-maverick,few-shot,en,1049,11,653,732,0.6224976167778837,0.6978074356530028,True,True
oyxoy,llama-4-maverick,zero-shot,el,1049,4,652,736,0.6215443279313632,0.7016205910390848,False,True
oyxoy,llama-4-maverick,zero-shot,en,1049,4,698,786,0.665395614871306,0.7492850333651097,True,True
oyxoy,mistral-large-3,few-shot,el,1049,2,525,589,0.5004766444232602,0.561487130600572,False,True
oyxoy,mistral-large-3,few-shot,en,1049,0,651,734,0.6205910390848427,0.6997140133460439,True,True
oyxoy,mistral-large-3,zero-shot,el,1049,0,466,511,0.444232602478551,0.4871306005719733,False,True
oyxoy,mistral-large-3,zero-shot,en,1049,0,679,773,0.6472831267874166,0.7368922783603432,True,True
