dataset,model,tier,condition,n_items,compilation_rate,proof_rate,accuracy,accuracy_given_compiled,mean_attempts,n_compiled,n_proved,n_correct,path
fracas,mistral-large-3,T2,c2,342,0.38011695906432746,0.30994152046783624,0.2982456140350877,0.7846153846153846,2.508771929824561,130,106,102,
fracas,mistral-large-3,T2,c3,342,0.47953216374269003,0.347953216374269,0.45321637426900585,0.9451219512195121,2.3128654970760234,164,119,155,
fracas-extended,deepseek-r1,T0,c1,427,0.7517564402810304,0.5269320843091335,0.31381733021077285,0.4174454828660436,2.177985948477752,321,225,134,
fracas-extended,deepseek-r1,T0,c2,427,0.765807962529274,0.5644028103044496,0.3185011709601874,0.41590214067278286,2.2763466042154565,327,241,136,
fracas-extended,deepseek-r1,T0,c3,427,0.7353629976580797,0.5386416861826698,0.3840749414519906,0.5222929936305732,2.2060889929742387,314,230,164,
fracas-extended,deepseek-v4-pro,T0,c1,427,0.8430913348946136,0.24824355971896955,0.38875878220140514,0.46111111111111114,1.4918032786885247,360,106,166,
fracas-extended,deepseek-v4-pro,T0,c2,427,0.8407494145199064,0.25995316159250587,0.4098360655737705,0.48746518105849584,1.5245901639344261,359,111,175,
fracas-extended,deepseek-v4-pro,T0,c3,427,0.8266978922716628,0.3793911007025761,0.5737704918032787,0.6940509915014165,1.6135831381733021,353,162,245,
fracas-extended,gpt-4o,T0,c1,427,0.819672131147541,0.40046838407494145,0.4426229508196721,0.54,1.5995316159250585,350,171,189,
fracas-extended,gpt-4o,T0,c2,427,0.7259953161592506,0.37236533957845436,0.41217798594847777,0.567741935483871,1.8688524590163935,310,159,176,
fracas-extended,gpt-4o,T0,c3,427,0.7704918032786885,0.35362997658079626,0.6533957845433255,0.8480243161094225,1.7470725995316159,329,151,279,
fracas-extended,gpt-5.4,T0,c1,427,0.9250585480093677,0.6042154566744731,0.5433255269320844,0.5873417721518988,1.8594847775175645,395,258,232,
fracas-extended,gpt-5.4,T0,c2,427,0.9063231850117096,0.5784543325526932,0.5269320843091335,0.5813953488372093,1.8594847775175645,387,247,225,
fracas-extended,gpt-5.4,T0,c3,427,0.9391100702576113,0.6557377049180327,0.8173302107728337,0.8703241895261845,1.585480093676815,401,280,349,
fracas-extended,grok-4-20,T0,c1,427,0.5152224824355972,0.19437939110070257,0.2576112412177986,0.5,2.1826697892271665,220,83,110,
fracas-extended,grok-4-20,T0,c2,427,0.4332552693208431,0.18032786885245902,0.2224824355971897,0.5135135135135135,2.3536299765807964,185,77,95,
fracas-extended,grok-4-20,T0,c3,427,0.5128805620608899,0.2388758782201405,0.405152224824356,0.7899543378995434,2.210772833723653,219,102,173,
fracas-extended,grok-4-20-reasoning,T0,c1,427,0.9929742388758782,0.41451990632318503,0.6229508196721312,0.6273584905660378,1.0819672131147542,424,177,266,
fracas-extended,grok-4-20-reasoning,T0,c2,427,0.9976580796252927,0.40749414519906324,0.6276346604215457,0.6291079812206573,1.1100702576112411,426,174,268,
fracas-extended,grok-4-20-reasoning,T0,c3,427,0.9976580796252927,0.6557377049180327,0.9882903981264637,0.9906103286384976,1.098360655737705,426,280,422,
fracas-extended,llama-3.3-70b,T0,c1,427,0.5175644028103045,0.32786885245901637,0.26229508196721313,0.5067873303167421,1.9859484777517564,221,140,112,
fracas-extended,llama-3.3-70b,T0,c2,427,0.48711943793911006,0.3161592505854801,0.2529274004683841,0.5192307692307693,2.117096018735363,208,135,108,
fracas-extended,llama-3.3-70b,T0,c3,427,0.5409836065573771,0.27400468384074944,0.4262295081967213,0.7878787878787878,2.002341920374707,231,117,182,
fracas-extended,llama-4-maverick,T0,c1,427,0.351288056206089,0.18969555035128804,0.1405152224824356,0.4,2.53864168618267,150,81,60,
fracas-extended,llama-4-maverick,T0,c2,427,0.34192037470725994,0.1686182669789227,0.15456674473067916,0.4520547945205479,2.5925058548009368,146,72,66,
fracas-extended,llama-4-maverick,T0,c3,427,0.4332552693208431,0.24824355971896955,0.26697892271662765,0.6162162162162163,2.423887587822014,185,106,114,
fracas-extended,mistral-large-3,T0,c1,427,0.37236533957845436,0.23185011709601874,0.2107728337236534,0.5660377358490566,2.6252927400468384,159,99,90,
fracas-extended,mistral-large-3,T0,c2,427,0.33021077283372363,0.20608899297423888,0.20608899297423888,0.624113475177305,2.622950819672131,141,88,88,
fracas-extended,mistral-large-3,T0,c3,427,0.405152224824356,0.28337236533957844,0.36065573770491804,0.8901734104046243,2.4543325526932085,173,121,154,
fracas-multilabel,deepseek-r1,T0,c1,713,0.791023842917251,0.5329593267882188,0.37307152875175315,0.4716312056737589,2.0869565217391304,564,380,266,
fracas-multilabel,deepseek-r1,T0,c2,713,0.7966339410939691,0.5189340813464236,0.3450210378681627,0.43309859154929575,2.1753155680224405,568,370,246,
